1	9	13	14	17	19	
1	9	13	17	19	22	
1	6	9	13	14	22	
1	6	9	13	14	17	
1	6	9	13	14	19	
1	6	9	14	19	22	
1	9	14	17	19	22	
1	6	9	17	19	22	
1	6	13	14	17	19	
1	6	13	14	19	22	
1	13	14	17	19	22	
6	9	13	17	19	22	
6	9	13	14	17	22	
1	6	9	13	17	19	
1	9	13	17	19	22	
1	9	13	14	19	22	
1	6	9	14	17	19	
1	9	14	17	19	22	
1	6	9	17	19	22	
1	6	9	13	14	17	
1	9	13	14	17	22	
1	6	13	14	17	19	
1	13	14	17	19	22	
1	6	13	14	19	22	
1	6	14	17	19	22	
1	6	13	17	19	22	
6	9	13	14	17	22	
6	9	13	14	17	19	
6	13	14	17	19	22	
1	9	13	17	19	22	
1	9	14	17	19	22	
1	6	9	13	17	22	
1	13	14	17	19	22	
1	6	13	17	19	22	
6	9	13	14	17	22	
6	9	13	14	19	22	
9	13	14	17	19	22	
